priority_rank,unit_id,building_id,city,location_type,building_type,unit_type,meter_type,connection_type,transformer_id,floor,floors,area_sqm,household_size,contracted_power_kw,latitude,longitude,readings,avg_consumption,median_consumption,std_consumption,total_consumption,avg_expected_kwh,total_expected_kwh,zero_days,low_expected_days,sudden_drop_days,flatline_days,weather_low_mismatch_days,normal_high_mismatch_days,avg_temp_mean,avg_weather_demand_pressure,fraud_label,anomaly_type,zero_ratio,flatline_ratio,low_expected_ratio,weather_mismatch_ratio,expected_gap_pct,kwh_per_sqm,kwh_per_person,cv_consumption,peer_avg_consumption,peer_low_gap_pct,estimated_missing_kwh_30d,estimated_loss_lek_30d,building_ai_anomaly_score,fraud_probability,consumption_deviation_score,peer_deviation_score,meter_behavior_score,weather_context_score,loss_impact_score,risk_score,risk_level,main_reason,recommended_action,alert_explanation
11,BLD-ELB-0008-U002,BLD-ELB-0008,Elbasan,City,Residential,Apartment,Unknown,Individual Meter,TR-ELB,11,11,63.0,6,4.8,41.119345,20.100911,180,8.576211111111112,4.4350000000000005,7.70844942852028,1543.718,18.691,3364.38,1,96,12,2,76,0,8.695777777777778,0.6611111111111111,1,uploaded_positive_label,0.005555555555555556,0.011111111111111112,0.5333333333333333,0.4222222222222222,0.5411582520404947,0.1361303350970018,1.4293685185185188,0.8988175930666418,14.909188888888888,0.4247701082181234,303.4436666666666,4096.4895,73.27,0.9915709290709291,45.1,42.48,24.61,42.22,60.76,64.73,High,AI outlier behavior,"Prioritize meter inspection, compare common-area meter, and verify illegal shared connections.","BLD-ELB-0008-U002 in BLD-ELB-0008 is High risk because the strongest signal is AI outlier behavior. Expected gap: 54%, peer low gap: 42%, weather mismatch: 42%."
12,BLD-KOR-0045-U006,BLD-KOR-0045,Korce,City,Residential,Apartment,Unknown,Individual Meter,TR-KOR,4,4,97.3,1,2.6,40.677962,20.78703,180,7.782588888888889,4.0255,7.297877453564848,1400.866,17.26725,3108.105,1,99,6,0,88,0,6.1418888888888885,0.7888888888888889,1,uploaded_positive_label,0.005555555555555556,0.0,0.55,0.4888888888888889,0.5492861405904884,0.07998549731643258,7.782588888888889,0.9377184838818792,15.084311111111111,0.4840607017740286,284.5398333333334,3841.2877500000004,73.85,0.9969837592114597,45.77,48.41,12.23,48.89,56.98,64.73,High,AI outlier behavior,"Prioritize meter inspection, compare common-area meter, and verify illegal shared connections.","BLD-KOR-0045-U006 in BLD-KOR-0045 is High risk because the strongest signal is AI outlier behavior. Expected gap: 55%, peer low gap: 48%, weather mismatch: 49%."
13,BLD-PES-0018-U008,BLD-PES-0018,Peshkopi,Village,Residential,Apartment,Unknown,Individual Meter,TR-PES,11,11,78.2,3,5.7,41.627289,20.41476,180,8.02971111111111,3.9205,7.3992208562257025,1445.348,17.383383333333335,3129.009,1,102,7,1,92,0,5.547944444444444,0.8277777777777777,1,uploaded_positive_label,0.005555555555555556,0.005555555555555556,0.5666666666666667,0.5111111111111111,0.538081226356332,0.10268172776356918,2.6765703703703703,0.9214803314638597,13.497733333333334,0.40510670104280894,280.6101666666667,3788.2372500000006,70.79,0.9945039864050577,44.84,40.51,14.42,51.11,56.19,63.46,Medium,AI outlier behavior,Monitor trend and inspect only if risk persists or neighboring units also become suspicious.,"BLD-PES-0018-U008 in BLD-PES-0018 is Medium risk because the strongest signal is AI outlier behavior. Expected gap: 54%, peer low gap: 41%, weather mismatch: 51%."
14,BLD-PES-0010-U002,BLD-PES-0010,Peshkopi,City,Residential,Apartment,Unknown,Individual Meter,TR-PES,7,7,34.0,5,6.0,41.682096,20.388149,180,7.773461111111111,3.8605,7.040509844860256,1399.223,16.672383333333332,3001.029,0,99,5,2,90,0,5.451333333333333,0.8,1,uploaded_positive_label,0.0,0.011111111111111112,0.55,0.5,0.5337522563094192,0.22863120915032678,1.5546922222222221,0.9057110782733317,13.832088888888888,0.4380124959032459,266.9676666666667,3604.0635,70.74,0.9969502387518352,44.48,43.8,10.38,50.0,53.46,63.17,Medium,AI outlier behavior,Monitor trend and inspect only if risk persists or neighboring units also become suspicious.,"BLD-PES-0010-U002 in BLD-PES-0010 is Medium risk because the strongest signal is AI outlier behavior. Expected gap: 53%, peer low gap: 44%, weather mismatch: 50%."
15,BLD-PES-0023-U001,BLD-PES-0023,Peshkopi,City,Residential,Apartment,Unknown,Individual Meter,TR-PES,0,2,90.7,4,6.1,41.645096,20.411637,180,7.448161111111111,3.4154999999999998,7.2878426463244494,1340.669,15.650711111111113,2817.128,0,97,4,5,91,0,5.524277777777778,0.8166666666666667,1,uploaded_positive_label,0.0,0.027777777777777776,0.5388888888888889,0.5055555555555555,0.5241007863327475,0.08211864510596595,1.8620402777777778,0.9784754300564874,13.832088888888888,0.4615302742094068,246.07650000000007,3322.0327500000008,70.48,0.9993867596095354,43.68,46.15,8.94,50.56,49.28,63.03,Medium,AI outlier behavior,Monitor trend and inspect only if risk persists or neighboring units also become suspicious.,"BLD-PES-0023-U001 in BLD-PES-0023 is Medium risk because the strongest signal is AI outlier behavior. Expected gap: 52%, peer low gap: 46%, weather mismatch: 51%."
16,BLD-FIE-0054-U007,BLD-FIE-0054,Fier,City,Residential,Apartment,Unknown,Individual Meter,TR-FIE,2,3,42.6,1,4.4,40.731122,19.55337,180,3.0669055555555556,1.5545,2.7707821792564573,552.043,6.509677777777777,1171.742,0,96,1,8,68,0,9.7225,0.5722222222222222,1,uploaded_positive_label,0.0,0.044444444444444446,0.5333333333333333,0.37777777777777777,0.528869836533981,0.07199308815858112,3.0669055555555556,0.9034455509193348,11.755369444444444,0.7391059830106006,103.28316666666665,1394.3227499999998,66.2,0.9998158890290038,44.07,73.91,3.51,37.78,20.68,62.6,Medium,below similar units,Monitor trend and inspect only if risk persists or neighboring units also become suspicious.,"BLD-FIE-0054-U007 in BLD-FIE-0054 is Medium risk because the strongest signal is below similar units. Expected gap: 53%, peer low gap: 74%, weather mismatch: 38%."
17,BLD-TIR-0076-U001,BLD-TIR-0076,Tirana,City,Residential,Apartment,Unknown,Individual Meter,TR-TIR,4,8,63.9,5,3.7,41.316177,19.82537,180,6.845722222222222,3.1375,6.367507731014653,1232.23,15.033255555555554,2705.986,1,104,8,4,76,0,9.13261111111111,0.6333333333333333,1,uploaded_positive_label,0.005555555555555556,0.022222222222222223,0.5777777777777777,0.4222222222222222,0.5446280948977562,0.10713180316466701,1.3691444444444445,0.9301440409522878,12.607433333333335,0.4570090484537782,245.62599999999992,3315.950999999999,64.42,0.9998343416882741,45.39,45.7,16.99,42.22,49.19,62.54,Medium,AI outlier behavior,Monitor trend and inspect only if risk persists or neighboring units also become suspicious.,"BLD-TIR-0076-U001 in BLD-TIR-0076 is Medium risk because the strongest signal is AI outlier behavior. Expected gap: 54%, peer low gap: 46%, weather mismatch: 42%."
18,BLD-VLO-0062-U008,BLD-VLO-0062,Vlore,City,Residential,Apartment,Unknown,Individual Meter,TR-VLO,3,10,39.1,2,3.3,40.468166,19.467064,180,3.716188888888889,1.7999999999999998,3.486850857531642,668.914,8.056655555555556,1450.198,1,102,2,12,68,0,10.241777777777777,0.5555555555555556,1,uploaded_positive_label,0.005555555555555556,0.06666666666666667,0.5666666666666667,0.37777777777777777,0.5387429854406088,0.0950431940892299,1.8580944444444445,0.9382867668425172,10.344127777777778,0.6407441044113595,130.21400000000003,1757.8890000000004,68.43,0.999592597707499,44.9,64.07,6.5,37.78,26.07,62.5,Medium,AI outlier behavior,Monitor trend and inspect only if risk persists or neighboring units also become suspicious.,"BLD-VLO-0062-U008 in BLD-VLO-0062 is Medium risk because the strongest signal is AI outlier behavior. Expected gap: 54%, peer low gap: 64%, weather mismatch: 38%."
19,BLD-KRU-0003-U006,BLD-KRU-0003,Kruje,Village,Residential,Apartment,Unknown,Individual Meter,TR-KRU,1,9,75.3,3,5.4,41.561732,19.838439,180,6.052733333333333,3.0075,5.711765838157594,1089.492,13.230411111111112,2381.474,1,101,7,5,80,0,8.106444444444445,0.6777777777777778,1,uploaded_positive_label,0.005555555555555556,0.027777777777777776,0.5611111111111111,0.4444444444444444,0.542513586123552,0.08038158477202302,2.017577777777778,0.9436671869718795,13.458855555555555,0.5502787507935708,215.33033333333336,2906.9595000000004,59.31,1.0,45.21,55.03,15.18,44.44,43.12,62.5,Medium,AI outlier behavior,Monitor trend and inspect only if risk persists or neighboring units also become suspicious.,"BLD-KRU-0003-U006 in BLD-KRU-0003 is Medium risk because the strongest signal is AI outlier behavior. Expected gap: 54%, peer low gap: 55%, weather mismatch: 44%."
20,BLD-KOR-0049-U008,BLD-KOR-0049,Korce,Village,Residential,Apartment,Unknown,Individual Meter,TR-KOR,0,3,102.4,2,5.6,40.601015,20.791013,180,5.528877777777778,3.0745,5.218160728915841,995.198,12.110872222222222,2179.957,1,94,9,3,82,0,6.23,0.7833333333333333,1,uploaded_positive_label,0.005555555555555556,0.016666666666666666,0.5222222222222223,0.45555555555555555,0.5434781511745415,0.05399294704861111,2.764438888888889,0.9438010639137653,9.589066666666668,0.42341856929651367,197.4598333333333,2665.7077499999996,65.94,0.9961538461538462,45.29,42.34,18.8,45.56,39.54,62.19,Medium,AI outlier behavior,Monitor trend and inspect only if risk persists or neighboring units also become suspicious.,"BLD-KOR-0049-U008 in BLD-KOR-0049 is Medium risk because the strongest signal is AI outlier behavior. Expected gap: 54%, peer low gap: 42%, weather mismatch: 46%."
21,BLD-SHK-0029-U005,BLD-SHK-0029,Shkoder,City,Residential,Apartment,Unknown,Individual Meter,TR-SHK,6,6,87.3,4,5.9,42.092225,19.490736,180,7.363938888888889,3.5155,6.950831006276073,1325.509,15.526361111111111,2794.745,0,102,7,5,79,0,8.589444444444444,0.65,1,uploaded_positive_label,0.0,0.027777777777777776,0.5666666666666667,0.4388888888888889,0.5257137949973969,0.08435210640193458,1.8409847222222222,0.9439012342652469,13.531888888888888,0.45580850172842746,244.87266666666667,3305.781,64.44,1.0,43.81,45.58,14.94,43.89,49.04,62.19,Medium,AI outlier behavior,Monitor trend and inspect only if risk persists or neighboring units also become suspicious.,"BLD-SHK-0029-U005 in BLD-SHK-0029 is Medium risk because the strongest signal is AI outlier behavior. Expected gap: 53%, peer low gap: 46%, weather mismatch: 44%."
22,BLD-KOR-0049-U001,BLD-KOR-0049,Korce,Village,Residential,Apartment,Unknown,Individual Meter,TR-KOR,0,3,36.3,3,3.8,40.597883,20.789325,180,5.675238888888889,2.8529999999999998,5.283931024974825,1021.543,12.146011111111111,2186.282,2,100,6,5,86,0,5.973111111111112,0.7722222222222223,1,uploaded_positive_label,0.011111111111111112,0.027777777777777776,0.5555555555555556,0.4777777777777778,0.53274874878904,0.1563426691153964,1.8917462962962963,0.9310499748864888,9.589066666666668,0.40815523698286016,194.12316666666666,2620.66275,69.83,0.9995651443036487,44.4,40.82,13.41,47.78,38.87,62.11,Medium,AI outlier behavior,Monitor trend and inspect only if risk persists or neighboring units also become suspicious.,"BLD-KOR-0049-U001 in BLD-KOR-0049 is Medium risk because the strongest signal is AI outlier behavior. Expected gap: 53%, peer low gap: 41%, weather mismatch: 48%."
23,BLD-FIE-0048-U008,BLD-FIE-0048,Fier,City,Residential,Apartment,Unknown,Individual Meter,TR-FIE,7,9,73.6,1,4.7,40.754765,19.543649,180,4.569677777777778,2.101,4.345699436674933,822.542,9.798955555555555,1763.812,1,97,5,1,71,0,9.479722222222222,0.5777777777777777,1,uploaded_positive_label,0.005555555555555556,0.005555555555555556,0.5388888888888889,0.39444444444444443,0.5336566482142088,0.06208801328502416,4.569677777777778,0.9509859661895539,11.755369444444444,0.6112688929621523,156.8783333333333,2117.8574999999996,62.6,0.9992407269106298,44.47,61.13,10.42,39.44,31.41,62.03,Medium,AI outlier behavior,Monitor trend and inspect only if risk persists or neighboring units also become suspicious.,"BLD-FIE-0048-U008 in BLD-FIE-0048 is Medium risk because the strongest signal is AI outlier behavior. Expected gap: 53%, peer low gap: 61%, weather mismatch: 39%."
24,BLD-FIE-0021-U002,BLD-FIE-0021,Fier,Village,Residential,Apartment,Unknown,Individual Meter,TR-FIE,4,4,51.6,2,5.6,40.83471,19.515572,180,4.636583333333333,2.2560000000000002,4.343220274881906,834.585,9.941227777777778,1789.421,2,95,7,1,70,0,9.365944444444445,0.5944444444444444,1,uploaded_positive_label,0.011111111111111112,0.005555555555555556,0.5277777777777778,0.3888888888888889,0.5336005333568792,0.0898562661498708,2.3182916666666666,0.9367286129977691,12.236683333333334,0.6210914994667673,159.13933333333333,2148.381,58.52,1.0,44.47,62.11,14.66,38.89,31.87,62.01,Medium,below similar units,Monitor trend and inspect only if risk persists or neighboring units also become suspicious.,"BLD-FIE-0021-U002 in BLD-FIE-0021 is Medium risk because the strongest signal is below similar units. Expected gap: 53%, peer low gap: 62%, weather mismatch: 39%."
25,BLD-SHK-0002-U004,BLD-SHK-0002,Shkoder,City,Residential,Apartment,Unknown,Individual Meter,TR-SHK,5,5,123.4,3,3.8,42.021157,19.521599,180,7.281311111111111,3.572,7.052652410659001,1310.636,15.091472222222222,2716.465,0,97,7,0,73,1,8.732555555555555,0.6444444444444445,1,uploaded_positive_label,0.0,0.0,0.5388888888888889,0.4111111111111111,0.5175214847237126,0.059005762650819374,2.4271037037037035,0.9685964935486437,13.531888888888888,0.4619146542734446,234.30483333333333,3163.11525,65.44,0.998910928547638,43.13,46.19,14.0,41.11,46.92,61.83,Medium,AI outlier behavior,Monitor trend and inspect only if risk persists or neighboring units also become suspicious.,"BLD-SHK-0002-U004 in BLD-SHK-0002 is Medium risk because the strongest signal is AI outlier behavior. Expected gap: 52%, peer low gap: 46%, weather mismatch: 41%."
26,BLD-TIR-0059-U006,BLD-TIR-0059,Tirana,City,Residential,Apartment,Unknown,Individual Meter,TR-TIR,0,8,61.8,3,6.8,41.357867,19.810358,180,4.971466666666667,2.3485,4.608501842629508,894.864,10.919855555555555,1965.574,0,107,2,7,69,0,9.258277777777778,0.5611111111111111,1,uploaded_positive_label,0.0,0.03888888888888889,0.5944444444444444,0.38333333333333336,0.544731462666885,0.08044444444444446,1.6571555555555557,0.9269903937059837,12.607433333333335,0.6056717862213562,178.45166666666665,2409.0975,63.56,0.999816497469441,45.39,60.57,5.32,38.33,35.73,61.83,Medium,AI outlier behavior,Monitor trend and inspect only if risk persists or neighboring units also become suspicious.,"BLD-TIR-0059-U006 in BLD-TIR-0059 is Medium risk because the strongest signal is AI outlier behavior. Expected gap: 54%, peer low gap: 61%, weather mismatch: 38%."
27,BLD-FIE-0051-U011,BLD-FIE-0051,Fier,City,Residential,Apartment,Unknown,Individual Meter,TR-FIE,1,2,73.6,5,7.7,40.70554,19.577085,180,6.745072222222222,3.2845,6.371801587871498,1214.113,15.031555555555554,2705.68,1,101,7,1,74,0,9.577444444444446,0.5944444444444444,1,uploaded_positive_label,0.005555555555555556,0.005555555555555556,0.5611111111111111,0.4111111111111111,0.5512725082049614,0.09164500301932368,1.3490144444444445,0.9446602464654192,11.755369444444444,0.42621350574312017,248.59449999999998,3356.02575,62.95,0.999333138817321,45.94,42.62,14.42,41.11,49.78,61.64,Medium,AI outlier behavior,Monitor trend and inspect only if risk persists or neighboring units also become suspicious.,"BLD-FIE-0051-U011 in BLD-FIE-0051 is Medium risk because the strongest signal is AI outlier behavior. Expected gap: 55%, peer low gap: 43%, weather mismatch: 41%."
28,BLD-FIE-0041-U010,BLD-FIE-0041,Fier,City,Residential,Apartment,Unknown,Individual Meter,TR-FIE,1,2,96.5,1,4.9,40.692359,19.556258,180,7.250755555555555,3.357,7.191438733468535,1305.136,15.036477777777776,2706.566,0,98,8,1,72,0,9.426444444444444,0.6055555555555555,1,uploaded_positive_label,0.0,0.005555555555555556,0.5444444444444444,0.4,0.5177889621017924,0.07513736327000575,7.250755555555555,0.9918192219234901,11.755369444444444,0.38319628406215317,233.57166666666663,3153.2174999999993,69.42,0.9987130563210157,43.15,38.32,16.19,40.0,46.77,61.64,Medium,AI outlier behavior,Monitor trend and inspect only if risk persists or neighboring units also become suspicious.,"BLD-FIE-0041-U010 in BLD-FIE-0041 is Medium risk because the strongest signal is AI outlier behavior. Expected gap: 52%, peer low gap: 38%, weather mismatch: 40%."
29,BLD-PES-0027-U006,BLD-PES-0027,Peshkopi,Village,Residential,Apartment,Unknown,Individual Meter,TR-PES,3,5,62.4,1,5.8,41.663946,20.482287,180,3.5430666666666664,3.289,1.3969020736443751,637.752,8.710627777777777,1567.913,0,24,1,4,63,0,5.384777777777778,0.8555555555555555,1,uploaded_positive_label,0.0,0.022222222222222223,0.13333333333333333,0.35,0.5932478396441639,0.05677991452991453,3.5430666666666664,0.39426355896333926,13.497733333333334,0.7375065443086741,155.02683333333331,2092.8622499999997,52.97,0.9983322417105533,49.44,73.75,2.76,35.0,31.04,61.52,Medium,below similar units,Monitor trend and inspect only if risk persists or neighboring units also become suspicious.,"BLD-PES-0027-U006 in BLD-PES-0027 is Medium risk because the strongest signal is below similar units. Expected gap: 59%, peer low gap: 74%, weather mismatch: 35%."
30,BLD-VLO-0037-U011,BLD-VLO-0037,Vlore,City,Residential,Apartment,Unknown,Individual Meter,TR-VLO,2,4,95.1,2,3.9,40.468334,19.477816,180,5.056883333333333,2.4699999999999998,4.769040746893521,910.239,11.273505555555555,2029.231,1,106,6,0,63,0,10.267833333333334,0.5222222222222223,1,uploaded_positive_label,0.005555555555555556,0.0,0.5888888888888889,0.35,0.5514364801247369,0.05317437784787943,2.5284416666666667,0.9430790533484433,10.344127777777778,0.5111348736239509,186.49866666666665,2517.732,62.36,0.9992630898513251,45.95,51.11,12.23,35.0,37.35,61.16,Medium,AI outlier behavior,Monitor trend and inspect only if risk persists or neighboring units also become suspicious.,"BLD-VLO-0037-U011 in BLD-VLO-0037 is Medium risk because the strongest signal is AI outlier behavior. Expected gap: 55%, peer low gap: 51%, weather mismatch: 35%."
31,BLD-SHK-0002-U002,BLD-SHK-0002,Shkoder,City,Residential,Apartment,Unknown,Individual Meter,TR-SHK,1,5,47.8,5,4.4,42.019776,19.522373,180,6.360277777777777,2.98,5.947624805536779,1144.85,13.433672222222222,2418.061,0,92,4,1,72,0,8.775555555555554,0.6333333333333333,1,uploaded_positive_label,0.0,0.005555555555555556,0.5111111111111111,0.4,0.5265421343795711,0.13306020455602044,1.2720555555555555,0.9351202908648472,13.531888888888888,0.5299785691412056,212.20183333333335,2864.7247500000003,61.09,0.9999255257378,43.88,53.0,8.19,40.0,42.49,61.13,Medium,AI outlier behavior,Monitor trend and inspect only if risk persists or neighboring units also become suspicious.,"BLD-SHK-0002-U002 in BLD-SHK-0002 is Medium risk because the strongest signal is AI outlier behavior. Expected gap: 53%, peer low gap: 53%, weather mismatch: 40%."
